Block,Group,Item,Condition,Sentence,Question,QAnswer,FontColour,FontColourCode,Word,StroopButton ,TrialType
1,1,1,A,The thoughtless secretaries called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Stroop_Sentence
1,2,1,B,The thoughtless secretaries who were called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Blue,"rgb(0, 0, 255)",Brown,a,Stroop_Sentence
1,3,1,C,The thoughtless secretaries called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Blue,"rgb(0, 0, 255)",Orange,a,Stroop_Sentence
1,4,1,D,The thoughtless secretaries who were called on the balcony returned to their desks.,Did someone call the secretaries while they were on the balcony?,Yes,Green,"rgb(34, 139, 34)",Green,s,Stroop_Sentence
1,2,2,A,The teenage girls begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Stroop_Sentence
1,3,2,B,The teenage girls who were begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Blue,"rgb(0, 0, 255)",Red,a,Stroop_Sentence
1,4,2,C,The teenage girls begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Green,"rgb(34, 139, 34)",Brown,s,Stroop_Sentence
1,1,2,D,The teenage girls who were begged in the hallway answered the headmaster rudely.,Did someone beg the teeange girls in the hallway?,Yes,Blue,"rgb(0, 0, 255)",Blue,a,Stroop_Sentence
1,3,3,A,The computer programmers guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Green,"rgb(34, 139, 34)",Green,s,Stroop_Sentence
1,4,3,B,The computer programmers who were guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Green,"rgb(34, 139, 34)",Orange,s,Stroop_Sentence
1,1,3,C,The computer programmers guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Green,"rgb(34, 139, 34)",Red,s,Stroop_Sentence
1,2,3,D,The computer programmers who were guaranteed the hard problem knew what to do.,Were the programmers guaranteed the hard problem?,Yes,Yellow,"rgb(255, 245, 0)",Yellow,d,Stroop_Sentence
